06:45 [Private | Amore Carver] Amore Carver transmits, "are you asleep or awake?"
12:09 [Private | Amore Carver] You transmit, "I know the feeling. I've lost two gunships already."
12:09 [Private | Amore Carver] Amore Carver transmits, "especially if somebody stole it"
12:09 [Private | Amore Carver] You transmit, "I had one stolen and the other blown up."
12:10 [Private | Amore Carver] Amore Carver transmits, "that's just to much cash to lose"
12:11 [Private | Amore Carver] You transmit, "Yeah, hence why I'm out of locals trying to earn credits."
12:11 [Private | Amore Carver] You chuckle.
12:11 [Private | Amore Carver] Amore Carver laughs.
12:13 [Private | Amore Carver] You transmit, "But I love my transverser too."
12:14 [Private | Amore Carver] Amore Carver transmits, "i can imagine, i love it, and i'm not even in AIE"
12:15 [Private | Amore Carver] You laugh and transmit, "A lot of people love it that are not AIE. In my last org, we took a trip in my transverser."
12:16 [Private | Amore Carver] Amore Carver transmits, "i think the best ship ever would be if they combine all the great features of all the specialty ships in to one"
12:17 [Private | Amore Carver] You transmit, "Oh, HG has a ship that does that. It was a blast to be in it."
12:17 [Private | Amore Carver] Amore Carver transmits, "oh wow, just imagine what that ship can do"
12:20 [Private | Amore Carver] Amore Carver laughs and transmits, "When I saw the transverser, I've decided, before I marry a guy that's in AIE, just so I can be in one, I'll switch, and then I will have my very own shippy."
12:21 [Private | Amore Carver] You laugh.
12:21 [Private | Amore Carver] Amore Carver transmits through a snicker, "Don't you think I'm a clever girl?"
12:23 [Private | Amore Carver] You transmit, "You are. And the ship is the 15-person Leviathan and yes, it could do I think just about everything. It even had wavewarp."
12:24 [Private | Amore Carver] Amore Carver transmits, "oh i've heard of that ship, i just didn't know it had all the features, and thanks, you are a clever man to realize i'm also clever"
12:24 [Private | Amore Carver] Amore Carver laughs.
12:25 [Private | Amore Carver] You laugh.
12:28 [Private | Amore Carver] You transmit, "I got so lost in that ship though. It's huge!"
12:28 [Private | Amore Carver] Amore Carver transmits, "i would have loved to be in one, i get lost in the senti, i don't like that ship much"
12:29 [Private | Amore Carver] You transmit, "Yeah the Sentie is confusing. I've gotten used to it though."
12:29 [Private | Amore Carver] Amore Carver transmits, "i guess i will if i do missions in it regularly, it's just so big"
12:30 [Private | Amore Carver] You transmit, "Yeah, you would."
12:30 [Private | Amore Carver] You transmit, "I want to get a dart someday."
12:31 [Private | Amore Carver] Amore Carver transmits, "i plan to get all the ships on the market, when i have my house one day, then i want to collect ships"
12:31 [Private | Amore Carver] You transmit, "I'll probably collect ships once I have my station."
12:32 [Private | Amore Carver] Amore Carver transmits, "i want a house, a station, a moon and then a planet of my own"
12:32 [Private | Amore Carver] You transmit, "Yeah, me too."
12:32 [Private | Amore Carver] You transmit, "I've already started to design my station. I don't have the points for one yet, but oh well."
12:32 [Private | Amore Carver] Amore Carver laughs and transmits, "We'll be the riches people in the whole universe."
12:33 [Private | Amore Carver] You laugh.
12:34 [Private | Amore Carver] Amore Carver transmits, "when i'm as old a pilot as matt i want all of that, and i want to retire and sit and enjoy my belongings"
12:34 [Private | Amore Carver] Amore Carver laughs.
12:35 [Private | Amore Carver] You laugh and transmit, "Yeah, Kitty has been a pilot about as long as Matt has if not longer and she doesn't even have a planet of her own yet."
12:38 [Private | Amore Carver] Amore Carver laughs.
12:39 [Private | Amore Carver] Amore Carver transmits, "see, we'll have to work hard"
12:40 [Private | Amore Carver] You transmit, "For sure."
12:41 [Private | Amore Carver] You transmit, "It'll take me so long that I'm not even sure if Kitty will still be around when I finally do get my planet."
12:42 [Private | Amore Carver] Amore Carver laughs and transmits, "If not, we'll have to enjoy our old age together."
12:42 [Private | Amore Carver] You laugh.
12:43 [Private | Amore Carver] You transmit, "Oh I'm sure you'll have a special guy to enjoy it with."
12:43 [Private | Amore Carver] Amore Carver laughs.
12:44 [Private | Amore Carver] You transmit, "You'll be married have like a hundred kids and you two can grow old together."
12:45 [Private | Amore Carver] Amore Carver transmits, "I don't know about that, and that's another thing, I can't have kids, so I don't know if a man would want to marry me if he finds out I can't have any."
12:46 [Private | Amore Carver] You transmit, "Well, there's always adoption and if he loves you enough, that won't stop him from marrying you."
12:47 [Private | Amore Carver] You transmit, "Kitty doesn't want to get married."
12:47 [Private | Amore Carver] Amore Carver transmits, "maybe, but for now, i'm way to young to want to think of marage or kids"
12:47 [Private | Amore Carver] Amore Carver transmits, "and you would want to?"
12:48 [Private | Amore Carver] You transmit, "Eventually I'd like to get married. I mean, not necessarily like tomorrow or next month, but certainly someday. And nothing wrong with waiting."
12:49 [Private | Amore Carver] Amore Carver transmits, "i would want to get married too, but just not right now, i still want to do so much before that"
12:50 [Private | Amore Carver] You transmit, "That's understandable."
12:50 [Private | Amore Carver] Amore Carver laughs and transmits, "Unless I feel in my heart that the man is the one I would want to be with for the rest of my life, then I'll get married tomorrow."
12:50 [Private | Amore Carver] You transmit, "Kitty just doesn't want to get married at all in the future."
12:51 [Private | Amore Carver] Amore Carver transmits, "maybe she'll change her mind, you never know"
12:51 [Private | Amore Carver] You laugh and transmit, "And you never know, that can happen when you least expect it."
12:51 [Private | Amore Carver] Amore Carver transmits, "my sentiments exactly"
12:52 [Private | Amore Carver] You chuckle and transmit, "Once Kitty makes up her mind, her mind is made up."
12:52 [Private | Amore Carver] Amore Carver transmits, "maybe, but then, you are a great guy, so who knows?"
12:53 [Private | Amore Carver] You laugh and transmit, "Oh I think you give me way more credit than I deserve. I'm really not that great."
12:54 [Private | Amore Carver] Amore Carver transmits, "i'm not wrong when i meet people, and i know you are, so stop trying to convince me otherwise"
12:54 [Private | Amore Carver] Amore Carver laughs.
12:55 [Private | Amore Carver] You chuckle.
12:57 [Private | Amore Carver] You transmit, "Honestly though, I like to flirt way too much. It's one of my biggest weaknesses."
12:59 [Private | Amore Carver] Amore Carver transmits, "i know, and i like it too, i just think that people shouldn't see to much in it than what there really is, i mean it doesn't mean that if we flirt, that we are having an afair or want to jump in to each others clothes, but that's just me, that's why i told you that it doesn't make me feel uncomfortable"
13:00 [Private | Amore Carver] You transmit, "Same here."
13:01 [Private | Amore Carver] Amore Carver transmits, "And I'm not a jelouss person at all, so if I am with a guy, and he flirts with other woman, I wouldn't hit his head off, I would actually enjoy seeing how he charm other woman, and how they would react to it."
13:01 [Private | Amore Carver] Amore Carver laughs.
13:02 [Private | Amore Carver] You transmit, "Yeah same here. I actually enjoy watching my significant other flirt and such, but Kitty won't at all."
13:04 [Private | Amore Carver] Amore Carver transmits, "i think it's sexy, because i know it doesn't mean anything, just fun, but it should then be the same for me, he shouldn't get jelouss if i flirt because we both have to be secure in what we have"
13:04 [Private | Amore Carver] You transmit, "As long as she comes home to me and she's open and honest about things, then it's all good."
13:04 [Private | Amore Carver] Amore Carver transmits, "i agree"
13:05 [Private | Amore Carver] You transmit, "The problem is that she has had other women steal her significant other away, so she's not as secure in her relationships as she otherwise could be."
13:07 [Private | Amore Carver] Amore Carver transmits, "i can understand that, but i believe it starts with yourself, be secure in your own sexuality, and how you look, then if a man leaves you for another woman, just always tell yourself that he is the one that's lost out, since you are the best any man can have, or woman, in a man's possision"
13:07 [Private | Amore Carver] You transmit, "I mean for example, when Kitty and I were first starting to get to know each other, she told me she didn't mind cuddling with a friend. When I asked her if she would cuddle with other guys, she said no and that I'd better not cuddle with other women. So, it kind of confused me."
13:08 [Private | Amore Carver] You transmit, "That's a good attitude to have."
13:08 [Private | Amore Carver] Amore Carver transmits, "that would confuse me too, so she'll cuddle with a girl friend, but not a male friend?"
13:09 [Private | Amore Carver] You transmit, "I don't even know what she meant by that. She was still just talking about male friends I thought, so..."
13:09 [Private | Amore Carver] Amore Carver laughs.
13:10 [Private | Amore Carver] You transmit, "So I didn't actually know if we were officially a couple yet. I mean, how do I interpret that?"
13:11 [Private | Amore Carver] Amore Carver transmits, "The thing is, I like atention from men, I love it when they compliment me on how I look, because it means that I'm taking care of myself, but I won't jump in to bed with anybody, unless I feel more than friendship for him, and it won't happen the first or second night, and if other woman think that I'm a cheep or loose woman, so be it, I know who and what I am, and I love it."
13:11 [Private | Amore Carver] Amore Carver laughs and transmits, "I don't know, I would just ask right out."
13:12 [Private | Amore Carver] You transmit, "YEah, so can I ask you a question?"
13:12 [Private | Amore Carver] You transmit, "A kind of personal question."
13:12 [Private | Amore Carver] Amore Carver transmits, "sure"
13:14 [Private | Amore Carver] You transmit, "Well, would you let a guy sleep in the same bed with you for... seven months without... umm, getting intimate?"
13:15 [Private | Amore Carver] You transmit, "And sorry if that's too personal"
13:15 [Private | Amore Carver] Amore Carver transmits, "i'm no rock, i have needs like any other person, but i would sleep next to a man without doing anything, if that is what he wants, but if we both want sex, and i'm in love with him, yes i would jump him as much as he wants me too"
13:16 [Private | Amore Carver] Amore Carver transmits, "i hope that answered your question"
13:18 [Private | Amore Carver] You transmit, "It did. It's not that I didn't want the affection. It's just rather difficult for me not to touch her if she's sleeping in the same bed with me but only wants to cuddle and it goes on for seven months. I don't know. I just think that at some point, hormones kick in and natural desire takes over...? MAybe I'm weird."
13:21 [Private | Amore Carver] You transmit, "It's like... Here, let me sleep next to you with little to no clothes on but don't touch any of my private areas and I don't know if and when I'll be comfortable with you touching me in those places, but we can just cuddle like this forever."
13:21 [Private | Amore Carver] You transmit, "Sorry."
13:21 [Private | Amore Carver] Amore Carver transmits, "i'll be honest with you, to me that is teasing a man beyond what he can endure, and i wouldn't be able to take it if a man did that to me"
13:21 [Private | Amore Carver] Amore Carver transmits, "there's nothing as great as teasing and playing around with the one you are involved with, maybe i'm just to weard too"
13:21 [Private | Amore Carver] You transmit, "And that, my friend is why I broke up with Kitty the first time."
13:22 [Private | Amore Carver] Amore Carver transmits, "i can understand that, can i ask you a personal question about her?"
13:22 [Private | Amore Carver] You transmit, "You can."
13:23 [Private | Amore Carver] You transmit, "You can always ask. I may or may not answer it."
13:23 [Private | Amore Carver] Amore Carver transmits, "does she ever wear provocative clothes for you?"
13:25 [Private | Amore Carver] You transmit, "On occasion, but often she doesn't have time to do much afterwords. So it's like, here. Let me wear something that would make you want to jump me, but we don't have enough time to be intimate. Sorry."
13:27 [Private | Amore Carver] Amore Carver transmits, "but that's not right tibo, if i wear almost nothing, i can't expect the guy not to want to jump me, that's why i do it in the first place, don't get me wrong, i'm not critizing her, i just think that if she doesn't want anything intimate to happen, she shouldn't do that, and she either should change, or let you go, to get a girl that would want you to jump her at every opportunity you get"
13:29 [Private | Amore Carver] You transmit, "I know you're not trying to criticize her and I'm not either. ?She's a great pilot and a great woman. But yeah, I'm a bit torn because I'd love for her to just wear like bra and underwear when we're on trips like this together, but then I'd want to jump her bones and she wouldn't necessarily have time for it. So, I kind of feel like I'm damned if I do and damned if I don't. Sorry for the cussing."
13:31 [Private | Amore Carver] Amore Carver transmits, "It's fine, I can hear your frustration, and the only thing I can think of, is that you should really talk to her, tell her how you feel, maybe tell her that if she doesn't want any intimate relations between you, then she shouldn't tease you to the point that you want to jump her, and then have the frustration not to be able to. Besides, she might enjoy it so much, she'll want to jump you every other day."
13:32 [Private | Amore Carver] You transmit, "My ex was better about flirting and teasing. At one point, this girl was feeling lonely and a bit depressed and my girlfriend told her, come hang out with us because Tibo wants to flirt with you. It totally made me laugh."
13:32 [Private | Amore Carver] Amore Carver transmits, "if the guy i'm with wanted to flirt with another woman in front of me, i wouldn't mind, i would like to sit and watch"
13:32 [Private | Amore Carver] Amore Carver laughs and transmits, "Now you can tell me I'm weard."
13:33 [Private | Amore Carver] You transmit, "?Oh I'm sure I'm weirder than that. That's not weird at all."
13:34 [Private | Amore Carver] Amore Carver transmits, "i want to ask you another question"
13:34 [Private | Amore Carver] You transmit, "Well,m at the same time, we have talked and I know where she's coming from. She just wants plenty of time to be intimate. She's not the tear your clothes off and go for it, fast and hard. And I'm not trying to be graphic so sorry."
13:35 [Private | Amore Carver] You transmit, "And go for it."
13:36 [Private | Amore Carver] Amore Carver transmits, "no but doing it impulsively is also fun, when you just can't get your clothes off quick enough, my question, what do you think of a three or foursome? have you ever done it before?"
13:37 [Private | Amore Carver] You transmit, "I have not, and I'm not opposed to it. There would obviously be some ground rules, but I'd love to try it. But Kitty would kill me if I even mentioned it. She's already told me."
13:38 [Private | Amore Carver] Amore Carver transmits, "i haven't done it either, but the guy i'm seeing? we talked about it, and i thought it could be amazingly fun"
13:39 [Private | Amore Carver] You transmit, "I'm sure it could be. Like I said, ground rules would have to be set, but as long as everyone is ok. Why not?"
13:40 [Private | Amore Carver] Amore Carver transmits, "of course"
13:41 [Private | Amore Carver] Amore Carver transmits, "I'm just open like that, but as I said, you have to be very comfortable with yourself to be able to do that, without falling apart."
13:42 [Private | Amore Carver] You transmit, "Same here."
13:43 [Private | Amore Carver] You laugh and transmit, "But Kitty wouldn't even let another guy so much as give her a pat on the butt."
13:43 [Private | Amore Carver] Amore Carver transmits, "i'm also not uncomfortable to talk to my male friends openly abouht things"
13:43 [Private | Amore Carver] Amore Carver laughs.
13:43 [Private | Amore Carver] Amore Carver transmits, "i wouldn't kiss another guy if i'm with somebody, but you can't keep a guy from patting your butt if he wanted too"
13:43 [Private | Amore Carver] Amore Carver laughs.
13:44 [Private | Amore Carver] You transmit, "Well, obviously I have no problem talking to my female friends about things."
13:44    (6:32 a.m.) [Private | Amore Carver] Amore Carver laughs and transmits, "Now you can tell me I'm weard."
   (6:34 a.m.) [Private | Amore Carver] Amore Carver transmits, "i want to ask you another question"
   (6:36 a.m.) [Private | Amore Carver] Amore Carver transmits, "no but doing it impulsively is also fun, when you just can't get your clothes off quick enough, my question, what do you think of a three or foursome? have you ever done it before?"
   (6:38 a.m.) [Private | Amore Carver] Amore Carver transmits, "i haven't done it either, but the guy i'm seeing? we talked about it, and i thought it could be amazingly fun"
   (6:40 a.m.) [Private | Amore Carver] Amore Carver transmits, "of course"
   (6:41 a.m.) [Private | Amore Carver] Amore Carver transmits, "I'm just open like that, but as I said, you have to be very comfortable with yourself to be able to do that, without falling apart."
   (6:43 a.m.) [Private | Amore Carver] Amore Carver transmits, "i'm also not uncomfortable to talk to my male friends openly abouht things"
   (6:43 a.m.) [Private | Amore Carver] Amore Carver laughs.
   (6:43 a.m.) [Private | Amore Carver] Amore Carver transmits, "i wouldn't kiss another guy if i'm with somebody, but you can't keep a guy from patting your butt if he wanted too"
   (6:43 a.m.) [Private | Amore Carver] Amore Carver laughs.
13:45 [Private | Amore Carver] Amore Carver transmits, "But then, you are the only guy I would talk about these kinds of things, that's excluding my guy."
13:45 [Private | Amore Carver] Amore Carver laughs.
13:45 [Private | Amore Carver] You laugh.
13:47 [Private | Amore Carver] Amore Carver transmits, "i honestly hope that she will change, beeing intimate is a big part of a good, healthy relationship"
13:50    (6:38 a.m.) [Private | Amore Carver] Amore Carver transmits, "i haven't done it either, but the guy i'm seeing? we talked about it, and i thought it could be amazingly fun"
   (6:40 a.m.) [Private | Amore Carver] Amore Carver transmits, "of course"
   (6:41 a.m.) [Private | Amore Carver] Amore Carver transmits, "I'm just open like that, but as I said, you have to be very comfortable with yourself to be able to do that, without falling apart."
   (6:43 a.m.) [Private | Amore Carver] Amore Carver transmits, "i'm also not uncomfortable to talk to my male friends openly abouht things"
   (6:43 a.m.) [Private | Amore Carver] Amore Carver laughs.
   (6:43 a.m.) [Private | Amore Carver] Amore Carver transmits, "i wouldn't kiss another guy if i'm with somebody, but you can't keep a guy from patting your butt if he wanted too"
   (6:43 a.m.) [Private | Amore Carver] Amore Carver laughs.
   (6:45 a.m.) [Private | Amore Carver] Amore Carver transmits, "But then, you are the only guy I would talk about these kinds of things, that's excluding my guy."
   (6:45 a.m.) [Private | Amore Carver] Amore Carver laughs.
   (6:47 a.m.) [Private | Amore Carver] Amore Carver transmits, "i honestly hope that she will change, beeing intimate is a big part of a good, healthy relationship"
13:51 [Private | Amore Carver] You transmit, "Yah, me too. I think she's just been hurt too much in the past."
13:52 [Private | Amore Carver] Amore Carver transmits, "I understand, but then, it wasn't you, so she can't blame you in a way."
13:52 [Private | Amore Carver] You transmit, "Well. Actually, I did hurt her when I broke up with her."
13:53 [Private | Amore Carver] Amore Carver transmits, "Yes, but you didn't do it for no reason, you had a good one, and I just feel that she should open up a bit more, she can't expect you to stay with her, and she doesn't give you some treats to keep you with her, but that's just my thoughts."
13:55 [Private | Amore Carver] You transmit, "I appreciate your thoughts."
13:56 [Private | Amore Carver] Amore Carver transmits, "good, because i'll give it"
13:56 [Private | Amore Carver] Amore Carver laughs.
13:56 [Private | Amore Carver] You laugh.
13:57 [Private | Amore Carver] You transmit, "But she's already established her boundaries and like I said, when Kitty makes up her mind, her mind's made up."
13:58 [Private | Amore Carver] Amore Carver transmits through a fit of giggles, "I should become friends with her, and change her mind."
13:58 [Private | Amore Carver] Amore Carver transmits, "but then i would want to be friends with her even if she doesn't"
13:58 [Private | Amore Carver] You transmit, "Go for it!"
13:59 [Private | Amore Carver] You transmit, "But please don't tell her I told you all of that."
13:59 [Private | Amore Carver] Amore Carver transmits, "i will never do that, what we talk about, stays between us"
13:59 [Private | Amore Carver] You transmit, "I so appreciate that."
14:00 [Private | Amore Carver] You transmit, "And same here."
14:01 [Private | Amore Carver] Amore Carver transmits, "Thank you, it's the one thing that I value, and that's honesty and somebody that can keep my confidence, and I do that with my friends."
14:03 [Private | Amore Carver] You transmit, "For sure. I'll never share anything you tell me unless you specifically give me permission to."
14:03 [Private | Amore Carver] Amore Carver transmits, "Thank you, and that goes for me as well."
14:42 [Private | Amore Carver] You transmit, "Especially the threesome part. She'd dump me if she knew I was ok with that."
14:43 [Private | Amore Carver] You laugh.
14:43 [Private | Amore Carver] Amore Carver laughs and transmits, "It stays between us two."
14:55 [Private | Amore Carver] Amore Carver laughs.
14:55 [Private | Amore Carver] Amore Carver transmits, "i know where you are"
14:55 [Private | Amore Carver] You laugh.
14:56 [Private | Amore Carver] Amore Carver transmits, "how far out are you now?"
14:56 [Private | Amore Carver] You transmit, "1841 light years"
14:56 [Private | Amore Carver] Amore Carver transmits, "not long then you won't be able to talk to me anymore i think?"
14:57 [Private | Amore Carver] You transmit, "Yeah, not sure if the extended comms range beyond 2000 light years."
14:57 [Private | Amore Carver] Amore Carver transmits, "no idea either"
16:06    (6:58 a.m.) [Private | Amore Carver] Amore Carver transmits, "but then i would want to be friends with her even if she doesn't"
   (6:59 a.m.) [Private | Amore Carver] Amore Carver transmits, "i will never do that, what we talk about, stays between us"
   (7:01 a.m.) [Private | Amore Carver] Amore Carver transmits, "Thank you, it's the one thing that I value, and that's honesty and somebody that can keep my confidence, and I do that with my friends."
   (7:03 a.m.) [Private | Amore Carver] Amore Carver transmits, "Thank you, and that goes for me as well."
   (7:43 a.m.) [Private | Amore Carver] Amore Carver laughs and transmits, "It stays between us two."
   (7:55 a.m.) [Private | Amore Carver] Amore Carver laughs.
   (7:55 a.m.) [Private | Amore Carver] Amore Carver transmits, "i know where you are"
   (7:56 a.m.) [Private | Amore Carver] Amore Carver transmits, "how far out are you now?"
   (7:56 a.m.) [Private | Amore Carver] Amore Carver transmits, "not long then you won't be able to talk to me anymore i think?"
   (7:57 a.m.) [Private | Amore Carver] Amore Carver transmits, "no idea either"
