00:23 [AEU | 1: Alliance Communication] Eli Grey transmits, "How's it going?"
01:13 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Yeah, they're costly."

01:13 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Half a bil."

01:15 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "The improved anchor is 250 industry.."

01:16 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Yeah, not too bad."

01:16 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Yep."

01:16 [AEU | 1: Alliance Communication] Constantine Stone transmits, "The fast engines are a serious boon, though. Last time I hauled I didn't even have the EAOS reactionless mark 2, and it was so much faster today."

01:17 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Fast engines are a boon to everything."

01:17 [AEU | 1: Alliance Communication] Constantine Stone transmits, "It's true."

01:17 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Fast engines, good battery."

01:18 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "That's all is needed for exploration, on a ship."

01:18 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Oh... and autovector."

01:18 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Yep."

01:18 [AEU | 1: Alliance Communication] Constantine Stone transmits, "For artifacting at least. I don't know how often those get used for other exploration."

01:19 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Besides the battery, obviously."

01:19 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Which? Autovector?"

01:19 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Yeah, does that get used on expeditions much?"

01:19 [AEU | 1: Alliance Communication] Constantine Stone transmits, "I guess I assumed expeditions were just rifting 90% of the time."

01:20 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "No idea. Possiblely."

01:20 [AEU | 1: Alliance Communication] Eli Grey transmits, "It can for artifacting, but no, not really."

01:20 [AEU | 1: Alliance Communication] Eli Grey transmits, "Still useful to have, of course."

01:20 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "I think people used autovector to gather artifacts."

01:20 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Yeah, and a pittance in cost compared to the other stuff you're likely to bring."

01:20 [AEU | 1: Alliance Communication] Eli Grey transmits, "They did, but that doesn't always happen on expiditions."

01:21 [AEU | 1: Alliance Communication] Eli Grey transmits, "If you're trying to hit a goal for example, you don't want to spend too much time doing anything else before you get there."

01:22 [AEU | 1: Alliance Communication] Eli Grey transmits, "It's still something good to have if you need it, but for the actual just exploring part, you mostly just need rift drive and some good sensors."

01:23 [AEU | 1: Alliance Communication] Eli Grey transmits, "And cahrge, lots of charge."

01:23 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Yeah."

01:24 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Scouts could be rented, right?"

01:24 [AEU | 1: Alliance Communication] Eli Grey transmits, "Having said that, I would still be pretty surprised to see an exploration ship without it heh."

01:24 [AEU | 1: Alliance Communication] Eli Grey transmits, "I think they rent one at Tannhauser?"

01:25 [AEU | 1: Alliance Communication] Eli Grey transmits, "I think it's for combat though, not really exploring."

01:25 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "That's' what I was wondering."

01:27 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Just calls it a deep space scout."

01:31 [AEU | 1: Alliance Communication] Eli Grey transmits, "Hmm I don't know."

01:31 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Hmm?"

01:31 [AEU | 1: Alliance Communication] Eli Grey transmits, "About the rrental scout."

01:32 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "It's 3.89 mil to rent.. for an hour. Not sure i'd use it for exploration..."

01:34 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "I don't want to be a bother... but do either of you want to go looking for local artifacts?"

01:35 [AEU | 1: Alliance Communication] Constantine Stone transmits, "I can't currently. I'm probably not going to be doing much for the next 12 hours or so."

01:35 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Besides resting."

01:36 A metallic silver metachannel FTL communicator chimes softly as it receives a new notice.

01:37 [MTTS] usfolks: Muahahahaha!!!

01:47 [Notification from Space Explorers Amidst The Stars] The organization has gained 4,351,851.85 credits for a submission from a battle analysis scanner on League Battle-Scanning Nuclear Temporary Station involving the one-person bastille "Temporary Name Aleph".

02:00 [Notification from Space Explorers Amidst The Stars] 160,000,000.00 credits have been deducted from the starship support fund.

02:00 [AEU | 10: Conquest Status] An AEU pilot corps liaison transmits, "The results are in!"

02:00 [Notification from Space Explorers Amidst The Stars] Lily Kaise, Phoenix Dissident has automatically contributed 21,626,052.03 AEU credits.

02:00 A metallic silver metachannel FTL communicator beeps insistently as it receives a new notice.
0.00 credits of your income have gone toward your organization.

02:00 [AEU | 10: Conquest Status] An AEU pilot corps liaison transmits, "We achieved our first tier performance goal! Good job! Let's go for all of them next time!"

02:00 [AEU | 10: Conquest Status] An AEU pilot corps liaison transmits, "Our performance was up 18.2% from the last Conquest period."

02:46 [AEU | 1: Alliance Communication] Constantine Stone transmits, "I'm trapped on a station filled with bari."

02:46 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Currently having a cocktail with a bari."

02:46 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "How?"

02:46 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Well, I was just kidding."

02:47 [AEU | 1: Alliance Communication] Constantine Stone transmits, "I'm not really trapped."

02:47 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Oh."

02:47 [AEU | 1: Alliance Communication] Constantine Stone transmits, "I'm at the frontier cluster."

02:47 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Ah."

02:47 [AEU | 1: Alliance Communication] Constantine Stone transmits, "I can leave but I won't be able to land again."

02:47 [AEU | 1: Alliance Communication] Lily Kaise, Phoenix Dissident transmits, "Was going to say, just launch."

02:47 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Right after I finish this Feng Wo dark."

02:47 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Well.. I am so far east of battle of mir beacon. That I've run into... no more debris."

02:47 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Oh nice."

02:47 [AEU | 1: Alliance Communication] Lily Kaise, Phoenix Dissident transmits, "We're there too but too lazy at the moment to do much so probably later today."

02:47 [AEU | 1: Alliance Communication] Shule Elemmire, Phoenix Dissident transmits, "He can leave, as long as the bsari don't eat him before he gets a chance too."

02:47 **

02:47  Welcome back to Star Conquest!
**
 There are new Conquest results! Type CONQUEST to see them.
**
 Star Conquest takes a lot of money to run. Please consider donating to offset those costs.
 Type HELP DONATIONS for more information.
**
 TIP: Want to join a private organization run by fellow pilots? Find the organization center in your capital spaceport!
**

02:48 [AEU | 1: Alliance Communication] Lily Kaise, Phoenix Dissident laughs.

02:48 [AEU | 1: Alliance Communication] Constantine Stone laughs.

02:48 [AEU | 1: Alliance Communication] Shule Elemmire, Phoenix Dissident transmits, "By the way, hello AEu."

02:48 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Hey Shule."

02:49 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Any idea what the Pulsar's laser bonus is like?"

02:49 [AEU | 1: Alliance Communication] Shule Elemmire, Phoenix Dissident transmits, "Ummm, 10 percent I think, but don't quote me."

02:50 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Anyone know how many sectors it is, before the debris ends? I've lost count."

02:50 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Not sure, but there are mileage and mileage reset buttons on your console you can use to keep rough track of how far you've gone."

02:50 [AEU | 1: Alliance Communication] Shule Elemmire, Phoenix Dissident transmits, "I think 20 sectors, but you should use your mileage meter."

02:51 [AEU | 1: Alliance Communication] Constantine Stone transmits, "There's also a really handy beacon autostop unit you should look into. Start your search by going down one, then in any direction, and when you're ready to go home just go up and return in the opposite direction."

02:51 [AEU | 1: Alliance Communication] Constantine Stone transmits, "And you'll stop when you get back to the beacon."

02:51 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Unfortunately... right now it's too late to reset it."

02:53 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Is there any point in minicannons on a pulsar?"

02:53 [AEU | 1: Alliance Communication] Constantine Stone transmits, "I guess you could use them if you want to save grid."

02:53 [AEU | 1: Alliance Communication] Shule Elemmire, Phoenix Dissident transmits, "Yeah, precisely. I use them to save grid at times."

02:54 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Is there any interesting torpedo that might be good on it?"

02:54 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Or not really."

02:54 [AEU | 1: Alliance Communication] Shule Elemmire, Phoenix Dissident transmits, "The highest one is good, but I don't like weapons that require ammo."

02:54 [AEU | 1: Alliance Communication] Constantine Stone transmits, "I guess there are those 5 second, 10% hull change guided torps."

02:54 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Yeah, I feel you there."

02:56 [AEU | 1: Alliance Communication] Lily Kaise, Phoenix Dissident transmits, "I only used torp launchers when I was pretty new at piloting becaus the lasers were a little on the low side The Eaos torpedo Launcher is very nice though. We may not be able to get those later on though."

02:56 [AEU | 1: Alliance Communication] Shule Elemmire, Phoenix Dissident transmits, "HAving been stuck on a cruiser that ran out of ammo twice on a high beacon... I don't like ammo much. I was engineer for one of those times and we had a heavy assault chasing us all over the sector and we were chained. We couldn't shoot back at all."

02:56 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Damn."

02:57 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Who's ship was that?"

02:57 [AEU | 1: Alliance Communication] Shule Elemmire, Phoenix Dissident transmits, "Yeah, Ather had to come in with his flare and break us free so we could repair and rearm."

02:57 [AEU | 1: Alliance Communication] Lily Kaise, Phoenix Dissident transmits, "Or when the captain forgets to check ammo prior to departure and I've been in that predicament too and it was scarey as we had absolutely no ammo."

02:57 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Nice. Lasers to the rescue!"

02:57 [AEU | 1: Alliance Communication] Constantine Stone transmits, "The flare is so strong."

02:58 [AEU | 1: Alliance Communication] Shule Elemmire, Phoenix Dissident transmits, "I love the flare!"

02:58 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Sounds like league or fringe..."

02:58 [AEU | 1: Alliance Communication] Shule Elemmire, Phoenix Dissident transmits, "It was League ship and yeah Lily, it'snot fun."

02:59 [AEU | 1: Alliance Communication] Lily Kaise, Phoenix Dissident transmits, "Well I'll be quiet as seems i'm just talking to myself anyway. Have a good morning."

03:00 [Space Explorers Amidst The Stars] Shule Elemmire, Phoenix Dissident transmits, "I responded toyou hun."

03:03 A metallic silver metachannel FTL communicator beeps quietly, indicating that it has unread notices.

03:04 You glance at your communicator's screen.

03:04 97,599.96 AEU credits from your trust fund have been released to you. [00:00 17 October 2317 GST]
There are two board posts.

03:09 A hairy yellow eight-legged ArachnoPal named Higgins skitters into the area.

03:17 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Where's a good place to find local artifacts?"

03:17 [AEU | 1: Alliance Communication] Constantine Stone transmits, "777 all day."

03:17 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Oh..."

03:17 [AEU | 1: Alliance Communication] Eli Grey transmits, "Battle of mir or 777."

03:17 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "I should've went to 777."

03:17 [AEU | 1: Alliance Communication] Constantine Stone transmits, "The best part about 777 is that if you have a rift drive the direction you fly in doesn't matter."

03:17 [AEU | 1: Alliance Communication] Lily Kaise, Phoenix Dissident transmits, "777 unless they have totally changed it to some other Ftingy name."

03:17 [AEU | 1: Alliance Communication] Constantine Stone transmits, "You can just rift back to 777 when you're done."

03:18 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Ah. Nice."

03:18 [AEU | 1: Alliance Communication] Lily Kaise, Phoenix Dissident transmits, "Glad that AEU pilots discovered it at least."

03:19 [AEU | 1: Alliance Communication] Lily Kaise, Phoenix Dissident transmits, "Try AEU too1."

03:19 A hairy yellow eight-legged ArachnoPal named Higgins crouches down for a moment.

03:20 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Well, I'm... 20 some sectors east of battle of mir.. and only found one."

03:20 [AEU | 1: Alliance Communication] Lily Kaise, Phoenix Dissident transmits, "Yeah they are rather sparce in that area."

03:20 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "So i've noticed..."

03:25 A hairy yellow eight-legged ArachnoPal named Higgins skitters out.

03:48 Lily Kaise, Phoenix Dissident glides in from the north.

03:53 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Finding one more would be worth all this effort and time..."

03:58 Lily Kaise, Phoenix Dissident removes a small suitcase from a lavender silk backpack embroidered with brightly hued butterflies.

03:58 Lily Kaise, Phoenix Dissident removes all of her clothing, placing it carefully in a small suitcase.

03:58 Lily Kaise, Phoenix Dissident puts a small suitcase in a lavender silk backpack embroidered with brightly hued butterflies.

03:59 Lily Kaise, Phoenix Dissident lies down on a white four poster rattan bed with a heart-shaped headboard and filmy deep purple hangings with a soft periwinkle cashmere blanket, a set of lavender silk sheets, a large periwinkle bed pillow, a hand-made purple and amethyst flower quilt, and a large periwinkle bed pillow on it.

03:59 You wrap your arms around Lily Kaise, Phoenix Dissident, pulling her close.

03:59 You kiss Lily Kaise, Phoenix Dissident.

03:59 Lily Kaise, Phoenix Dissident wraps her arms around you, pulling you close.

03:59 You say to Lily, "Hi my love."

04:00 Lily says to you, "Hey Love!"

04:02 You kiss Lily Kaise, Phoenix Dissident on the lips.

04:03 Prissy the old big violet long-haired felo wanders in from the north.

04:09 You stroke the soft fur of Prissy the old big violet long-haired felo.

04:09 Prissy the old big violet long-haired felo purrs and rubs its head against your hand, looking up at you adoringly.

04:09 You stroke the soft fur of Prissy the old big violet long-haired felo.

04:09 Prissy the old big violet long-haired felo purrs and rubs its head against your hand, looking up at you adoringly.

04:09 You toss a small red ball containing a realistic Bari horde noisemaker at Prissy the old big violet long-haired felo.

04:09 Prissy the old big violet long-haired felo leaps after the ball.

04:09 Do you wish to pick that up? Selecting no will retrieve its contents.

04:09 [Enter `yes' or `no']

04:09 You help yourself to a small Bari-shaped tidbit.

04:09 You put down a small Bari-shaped tidbit.

04:10 You put a small red ball containing a realistic Bari horde noisemaker away.

04:10 Lily Kaise, Phoenix Dissident strokes the soft fur of Prissy the old hungry big violet long-haired felo.

04:10 Prissy the old hungry big violet long-haired felo purrs and rubs its head against Lily's hand, looking up at her adoringly.

04:10 You stroke the soft fur of Prissy the old hungry big violet long-haired felo.

04:10 Prissy the old hungry big violet long-haired felo purrs and rubs its head against your hand, looking up at you adoringly.

04:10 You show a small Bari-shaped tidbit to Prissy the old hungry big violet long-haired felo.

04:10 Lily Kaise, Phoenix Dissident hugs Prissy the old hungry big violet long-haired felo.

04:10 You hug Prissy the old hungry big violet long-haired felo and hug Lily Kaise, Phoenix Dissident.

04:10 Lily Kaise, Phoenix Dissident smiles.

04:11 Lily Kaise, Phoenix Dissident cuddles up to you.

04:11 Prissy the old hungry big violet long-haired felo seems to be hungry.

04:11 Prissy the old hungry big violet long-haired felo enthusiastically gobbles up a small Bari-shaped tidbit.

04:11 Lily Kaise, Phoenix Dissident cheers for Prissy the old big violet long-haired felo!

04:12 You stroke the soft fur of Prissy the old big violet long-haired felo.

04:12 Prissy the old big violet long-haired felo purrs and rubs its head against your hand, looking up at you adoringly.

04:12 You grin at Prissy the old big violet long-haired felo.

04:12 Lily Kaise, Phoenix Dissident strokes the soft fur of Prissy the old big violet long-haired felo.

04:12 Prissy the old big violet long-haired felo purrs and rubs its head against Lily's hand, looking up at her adoringly.

04:12 Lily says to Prissy the old big violet long-haired felo, "I'll so iss you. YOu've been so fun."

04:13 Lily Kaise, Phoenix Dissident says, "Oh I never put a collar on her."

04:13 Lily Kaise, Phoenix Dissident asks, "Do you remember when I found her?"

04:14 Lily Kaise, Phoenix Dissident says, "I was trying to remember the other day."

04:15 Prissy the old big violet long-haired felo wanders out.

04:16 "I'm sorry." You shake your head. "I don't.headshake 'I'm sorry. I don't.headshake 'I don't. Sorry."

04:16 You shake your head. "Sorry, I don't."

04:21 Shine the big white glowing felo wanders in from the north.

04:29 Shine the big white glowing felo rears up and plants both pairs of forelegs on your leg, then rubs its head against you, purring softly.

04:46 A hairy yellow eight-legged ArachnoPal named Higgins skitters into the area.

04:49 Shine the big white glowing felo wanders out.

04:49 A hairy yellow eight-legged ArachnoPal named Higgins works his fangs.

05:01 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "F I'd ask what are pilots up to. But, doesn't seem like many pilots are awake right now."

05:02 A hairy yellow eight-legged ArachnoPal named Higgins spins webbing, gathering it into a ball with his back feet, then eats it.

05:04 [Notification from Space Explorers Amidst The Stars] The organization has received 164,246.19 EAOS credits from a toll payment to League Rift Accelerating Battery-Powered Toll Station in Mir.

05:05 Shine the big white glowing felo wanders in from the north.

05:06 A hairy yellow eight-legged ArachnoPal named Higgins skitters out.

05:07 There appear to be 6 pilots recently active.

05:07 The communicator network detects:
Lily Kaise, Phoenix Dissident  (A)
Johnathon Triggs  (A) [c]
Shule Elemmire, Phoenix Dissident  (A) [m]
Sarah Bellamy  (L)
Katina Faye  (L)
Tanny Hill  (L)
Additionally, there are 14 pilots who appear to have their communicators on but have not recently been active.
Final total: 20 pilots.
Want to know if anyone's relaxing in a public venue? Check WHERE!

05:10 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "What?"

05:10 [AEU | 1: Alliance Communication] Eli Grey transmits, "Nah was saying that because she was asking for an SSN quote for a runabout name."

05:12 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "What are you up to, Eli?"

05:12 Shule Elemmire, Phoenix Dissident

05:12 He appears to be 27 years old. He is about six feet and two inches tall and has olive skin. His body is athletic with muscled hips and strong calves. He has average-sized shoulders and a wide chest with small dark nipples. His abdomen is flat and punctuated by a sunken navel. More intimately, he has bushy salt and pepper pubic hair and an athletic butt. His face is average-shaped and handsome, with a broad nose and strong chin. His lips are thin and tan and occasionally part to reveal a set of fairly white teeth. Beneath a set of arched eyebrows, his eyes are blue-grey and round. His mid-back length, straight hair is blonde and neatly trimmed over the ears and parted on the side. He has large brownish fingernails.
 He is wearing nothing. He is also wearing a keychain, a solid silver ring engraved with dolphins, and a gold wrist-mounted chronometer. His head, face, both eyes, neck, both shoulders, chest, back, both biceps, both elbows, abdomen, both forearms, both wrists, both hands, waist, both hips, groin, both thighs, both knees, both calves, both ankles, and both feet are left uncovered.
He is carrying nothing.

05:12 [AEU | 1: Alliance Communication] Eli Grey transmits, "Mining."

05:12 [AEU | 1: Alliance Communication] Shule Elemmire, Phoenix Dissident transmits, "I'm not Eli, but I'm up to about 6 feet, two inches last I checked."

05:13 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Mining too, shule?"

05:13 Shine the big white glowing felo wanders out.

05:14 [AEU | 1: Alliance Communication] Constantine Stone transmits, "I used to mine."

05:14 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Before a bari killed all my drones and drank my mug of Feng Wo dark."

05:14 [AEU | 1: Alliance Communication] Shule Elemmire, Phoenix Dissident transmits, "Nope, being lazy as it's about my bedtime soon or I'll turn into a pumpkin."

05:14 Lily Kaise, Phoenix Dissident speaks into her neon purple metachannel FTL communicator:

05:14 [AEU | 1: Alliance Communication] Lily Kaise, Phoenix Dissident transmits, "I' up to about 5 feet but nope I am jsut being lazy and about ready to go for a nice long sleep cycle soonish."

05:14 [AEU | 1: Alliance Communication] Shule Elemmire, Phoenix Dissident transmits, "Constantine, next time you need to negotiate with them better."

05:15 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Sleep cycles are the best cycles."

05:15 Lily Kaise, Phoenix Dissident speaks into her neon purple metachannel FTL communicator:

05:15 [AEU | 1: Alliance Communication] Lily Kaise, Phoenix Dissident transmits, "I' up to about 5 feet but nope I am jsut being lazy and about ready to go for a nice long sleep cycle soonishtr 1 uh five feet two yes those two extra inches do matter heh."

05:15 You grin at Lily Kaise, Phoenix Dissident.

05:15 Lily Kaise, Phoenix Dissident laughs.

05:15 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Next time I'll tape a small bari-shaped tidbit to my head."

05:15 [AEU | 1: Alliance Communication] Constantine Stone transmits, "And blend in."

05:16 Lily Kaise, Phoenix Dissident speaks into her neon purple metachannel FTL communicator:

05:16 [AEU | 1: Alliance Communication] Lily Kaise, Phoenix Dissident transmits, "Good you do that!"

05:16 You kiss Lily Kaise, Phoenix Dissident.

05:17 Lily Kaise, Phoenix Dissident exclaims, "Heh yeah I don't think I want to sleep with a... pumpkin!"

05:17 Lily Kaise, Phoenix Dissident laughs.

05:17 You laugh.

05:17 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "How is the station? Does it need cleaning again?"

05:18 Lily Kaise, Phoenix Dissident speaks into her neon purple metachannel FTL communicator:

05:18 [AEU | 1: Alliance Communication] Lily Kaise, Phoenix Dissident transmits, "Goodnight Everybody. Be safe and don't cause any trouble unless it's fun!"

05:18 Lily Kaise, Phoenix Dissident speaks into her neon purple metachannel FTL communicator:

05:18 [AEU | 1: Alliance Communication] Lily Kaise, Phoenix Dissident transmits, "Good day too!"

05:18 [AEU | 1: Alliance Communication] Eli Grey transmits, "Have a good night, Lily."

05:18 [AEU | 1: Alliance Communication] Shule Elemmire, Phoenix Dissident transmits, "Night everyone. Don't do anything I wouldn't do."

05:18 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Huh... that's a dangerous statement."

05:18 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Good night."

05:18 Lily Kaise, Phoenix Dissident keys her neon purple metachannel FTL communicator:

05:18 [AEU | 1: Alliance Communication] Lily Kaise, Phoenix Dissident chuckles.

05:18 [AEU | 1: Alliance Communication] Constantine Stone transmits, "It does need cleaning again, but we may not get to it until later today."

05:19 You kiss Lily Kaise, Phoenix Dissident.

05:19 [AEU | 1: Alliance Communication] Constantine Stone transmits, "I could be available in a few hours if others are."

05:19 Lily Kaise, Phoenix Dissident speaks into her neon purple metachannel FTL communicator:

05:19 [AEU | 1: Alliance Communication] Lily Kaise, Phoenix Dissident transmits, "Well ok you all had this coming! I don't think I want to sleep with a pumpkin!"

05:19 [AEU | 1: Alliance Communication] Constantine Stone laughs.

05:19 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Ok. That's it. I'll do the cleaning myself."

05:19 Lily Kaise, Phoenix Dissident laughs.

05:19 You laugh.

05:19 [AEU | 1: Alliance Communication] Constantine Stone cheers.

05:19 [AEU | 1: Alliance Communication] Johnathon Triggs cackles!

05:19 Lily Kaise, Phoenix Dissident speaks into her neon purple metachannel FTL communicator:

05:19 [AEU | 1: Alliance Communication] Lily Kaise, Phoenix Dissident transmits, "Ok take care everyone."

